fecha;instruccion;tipo;robot_id
2026-06-05 09:40:20;Cinta Detenida;Cinta;16
2026-06-05 09:40:16;Movimiendo a HOME;Movimiento;16
2026-06-05 09:39:49;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 09:39:49;Stop Solicitado, deteniendo main;Sistema;16
2026-06-05 09:39:49;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 09:39:47;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 09:39:46;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 09:39:44;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 09:39:43;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 09:39:42;Posicionando agarrar pieza;Movimiento;16
2026-06-05 09:39:41;Bajando para agarrar pieza;Movimiento;16
2026-06-05 09:39:39;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 09:39:36;Moviendo a posición de agarre;Movimiento;16
2026-06-05 09:39:33;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 09:39:28;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 09:39:27;Subiendo después de paletizar;Movimiento;16
2026-06-05 09:39:24;Abriendo pinza para soltar pieza paletizada;Pinza;16
2026-06-05 09:39:23;Dejando la pieza en la posición de paletizado;Movimiento;16
2026-06-05 09:39:21;Subiendo con pieza para paletizar;Movimiento;16
2026-06-05 09:39:18;Cerrando pinza para agarrar pieza para paletizar;Pinza;16
2026-06-05 09:39:17;Bajando para agarrar pieza para paletizar;Movimiento;16
2026-06-05 09:39:16;Moviendo a posición de ataque para paletizar;Movimiento;16
2026-06-05 09:39:13;Pieza detectada en sensor 1, deteniendo cinta para paletizar;Cinta;16
2026-06-05 09:39:09;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 09:39:09;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 09:39:07;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 09:39:06;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 09:39:04;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 09:39:03;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 09:39:02;Posicionando agarrar pieza;Movimiento;16
2026-06-05 09:39:01;Bajando para agarrar pieza;Movimiento;16
2026-06-05 09:38:59;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 09:38:56;Moviendo a posición de agarre;Movimiento;16
2026-06-05 09:38:53;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 09:38:48;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 09:38:47;Robot inicializado;Sistema;16
2026-06-05 09:38:47;Robot actualizando herramienta;Sistema;16
2026-06-05 09:38:46;Robot Calibrando;Sistema;16
2026-06-05 09:37:32;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 09:37:32;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 09:37:30;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 09:37:29;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 09:37:27;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 09:37:26;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 09:37:25;Posicionando agarrar pieza;Movimiento;16
2026-06-05 09:37:24;Bajando para agarrar pieza;Movimiento;16
2026-06-05 09:37:22;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 09:37:19;Moviendo a posición de agarre;Movimiento;16
2026-06-05 09:37:17;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 09:37:12;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 09:37:10;Robot inicializado;Sistema;16
2026-06-05 09:37:10;Robot actualizando herramienta;Sistema;16
2026-06-05 09:37:09;Robot Calibrando;Sistema;16
2026-06-05 09:21:31;Robot inicializado;Sistema;16
2026-06-05 09:20:29;Robot inicializado;Sistema;16
2026-06-05 09:15:48;Robot inicializado;Sistema;16
2026-06-05 08:44:32;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:44:28;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 08:44:23;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:44:23;Subiendo después de paletizar;Movimiento;16
2026-06-05 08:44:20;Abriendo pinza para soltar pieza paletizada;Pinza;16
2026-06-05 08:44:19;Dejando la pieza 2 en la posición de paletizado;Movimiento;16
2026-06-05 08:44:17;Subiendo con pieza para paletizar;Movimiento;16
2026-06-05 08:44:15;Cerrando pinza para agarrar pieza para paletizar;Pinza;16
2026-06-05 08:44:14;Bajando para agarrar pieza para paletizar;Movimiento;16
2026-06-05 08:44:12;Moviendo a posición de ataque para paletizar;Movimiento;16
2026-06-05 08:44:09;Pieza detectada en sensor 1, deteniendo cinta para paletizar;Cinta;16
2026-06-05 08:44:02;Corriendo cinta después de soltar pieza;Cinta;16
